glottocode,name,level,glot_path,family
kiry1234,Kirya-Konzel,language,afro1255/chad1250/bium1280/nort3156/higi1241/nkaf1238/higi1242/kiry1234,afro1255
higi1242,Nkafa-Kirya,family,afro1255/chad1250/bium1280/nort3156/higi1241/nkaf1238/higi1242,afro1255
nkaf1238,Nkafa-Kirya-Bana,family,afro1255/chad1250/bium1280/nort3156/higi1241/nkaf1238,afro1255
psik1239,Psikye,language,afro1255/chad1250/bium1280/nort3156/higi1241/psik1239,afro1255
nucl1685,Nuclear Psikye,dialect,afro1255/chad1250/bium1280/nort3156/higi1241/psik1239/nucl1685,afro1255
wula1250,Wula,dialect,afro1255/chad1250/bium1280/nort3156/higi1241/psik1239/wula1250,afro1255
zlen1238,Zlenge,dialect,afro1255/chad1250/bium1280/nort3156/higi1241/psik1239/zlen1238,afro1255
kuri1265,Kuri (Buduma),dialect,afro1255/chad1250/bium1280/nort3156/koto1267/budu1265/kuri1265,afro1255
budu1265,Buduma,language,afro1255/chad1250/bium1280/nort3156/koto1267/budu1265,afro1255
nort3049,Northern Buduma,dialect,afro1255/chad1250/bium1280/nort3156/koto1267/budu1265/nort3049,afro1255
nucl1686,Nuclear Buduma,dialect,afro1255/chad1250/bium1280/nort3156/koto1267/budu1265/nucl1686,afro1255
sout3052,Southern Buduma,dialect,afro1255/chad1250/bium1280/nort3156/koto1267/budu1265/sout3052,afro1255
jina1244,Jina,language,afro1255/chad1250/bium1280/nort3156/koto1267/jina1243/jina1244,afro1255
moee1234,Mo'e,dialect,afro1255/chad1250/bium1280/nort3156/koto1267/jina1243/jina1244/moee1234,afro1255
muhu1242,Muhulu,dialect,afro1255/chad1250/bium1280/nort3156/koto1267/jina1243/jina1244/muhu1242,afro1255
zina1234,Zina,dialect,afro1255/chad1250/bium1280/nort3156/koto1267/jina1243/jina1244/zina1234,afro1255
hwal1242,Hwalem,dialect,afro1255/chad1250/bium1280/nort3156/koto1267/jina1243/maje1243/hwal1242,afro1255
kaji1238,Kajire-'dulo,dialect,afro1255/chad1250/bium1280/nort3156/koto1267/jina1243/maje1243/kaji1238,afro1255
maje1243,Majera,language,afro1255/chad1250/bium1280/nort3156/koto1267/jina1243/maje1243,afro1255
nucl1687,Nuclear Majera,dialect,afro1255/chad1250/bium1280/nort3156/koto1267/jina1243/maje1243/nucl1687,afro1255
jina1243,Kotoko Meridional,family,afro1255/chad1250/bium1280/nort3156/koto1267/jina1243,afro1255
affa1240,Affade,dialect,afro1255/chad1250/bium1280/nort3156/koto1267/koto1263/lagw1237/affa1240,afro1255
logo1273,Logone-Gana,dialect,afro1255/chad1250/bium1280/nort3156/koto1267/koto1263/lagw1237/logo1273,afro1255
logo1274,Logone-Birni,dialect,afro1255/chad1250/bium1280/nort3156/koto1267/koto1263/lagw1237/logo1274,afro1255
lagw1237,Lagwan,language,afro1255/chad1250/bium1280/nort3156/koto1267/koto1263/lagw1237,afro1255
koto1263,Kotoko Central,family,afro1255/chad1250/bium1280/nort3156/koto1267/koto1263,afro1255
gawi1244,Gawi,dialect,afro1255/chad1250/bium1280/nort3156/koto1267/koto1263/mser1242/gawi1244,afro1255
houl1238,Houlouf,dialect,afro1255/chad1250/bium1280/nort3156/koto1267/koto1263/mser1242/houl1238,afro1255
kabe1249,Kabe,dialect,afro1255/chad1250/bium1280/nort3156/koto1267/koto1263/mser1242/kabe1249,afro1255
kalo1266,Kalo,dialect,afro1255/chad1250/bium1280/nort3156/koto1267/koto1263/mser1242/kalo1266,afro1255
mser1242,Mser,language,afro1255/chad1250/bium1280/nort3156/koto1267/koto1263/mser1242,afro1255
nucl1691,Nuclear Mser,dialect,afro1255/chad1250/bium1280/nort3156/koto1267/koto1263/mser1242/nucl1691,afro1255
afad1236,Afade,language,afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1268/afad1236,afro1255
masl1241,Maslam,language,afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1268/masl1241,afro1255
